# Prompts for fixing all data quality issues
# Copy and paste these prompts into Cursor chat when working on each file
# Format: Record ID | File Path | Issue Count | Prompt

opendatasurabayagoid | ID/ID-JI/opendata/opendatasurabayagoid.yaml | 6 issues | Fix all data quality issues for opendatasurabayagoid. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
geoportaljatengprovgoid | ID/ID-JT/geo/geoportaljatengprovgoid.yaml | 6 issues | Fix all data quality issues for geoportaljatengprovgoid. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
idsddepokgoid | ID/ID-JK/geo/idsddepokgoid.yaml | 6 issues | Fix all data quality issues for idsddepokgoid. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
datainfogeo54fr | FR/FR-GES/geo/datainfogeo54fr.yaml | 6 issues | Fix all data quality issues for datainfogeo54fr. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
visorrpgurasturiases | ES/ES-AS/geo/visorrpgurasturiases.yaml | 6 issues | Fix all data quality issues for visorrpgurasturiases. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
osmetadataastuntechnologycom | Unknown/geo/osmetadataastuntechnologycom.yaml | 6 issues | Fix all data quality issues for osmetadataastuntechnologycom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
tiledimageservices8arcgiscom | Unknown/Federal/geo/tiledimageservices8arcgiscom.yaml | 6 issues | Fix all data quality issues for tiledimageservices8arcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_OWNER_LINK, and 3 more
services9arcgiscomRHVPKKiFTONKtxq3 | Unknown/Federal/geo/services9arcgiscomRHVPKKiFTONKtxq3.yaml | 6 issues | Fix all data quality issues for services9arcgiscomRHVPKKiFTONKtxq3. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_OWNER_LINK, and 3 more
services5arcgiscomDmRfik4clMVydXO3 | Unknown/Federal/geo/services5arcgiscomDmRfik4clMVydXO3.yaml | 6 issues | Fix all data quality issues for services5arcgiscomDmRfik4clMVydXO3. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_OWNER_LINK, and 3 more
riinternetofuseu | EU/Federal/opendata/riinternetofuseu.yaml | 6 issues | Fix all data quality issues for riinternetofuseu. Issues: MISSING_TOPICS, MISSING_DESCRIPTION, MISSING_LANGS, and 3 more
serviceseu1arcgiscom | EU/Federal/geo/serviceseu1arcgiscom.yaml | 6 issues | Fix all data quality issues for serviceseu1arcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
arcgisglobetechcomtr | TR/Federal/geo/arcgisglobetechcomtr.yaml | 6 issues | Fix all data quality issues for arcgisglobetechcomtr. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
fpassanitiopendatasoftcom | US/Federal/opendata/fpassanitiopendatasoftcom.yaml | 6 issues | Fix all data quality issues for fpassanitiopendatasoftcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
flagellacrbsucsdedu | US/Federal/opendata/flagellacrbsucsdedu.yaml | 6 issues | Fix all data quality issues for flagellacrbsucsdedu. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
dataspaceniuaorg | IN/Federal/opendata/dataspaceniuaorg.yaml | 6 issues | Fix all data quality issues for dataspaceniuaorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
saocomputeeuracedugeoserver | IT/Federal/geo/saocomputeeuracedugeoserver.yaml | 6 issues | Fix all data quality issues for saocomputeeuracedugeoserver. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
mapy2naturcunicz | CZ/Federal/geo/mapy2naturcunicz.yaml | 6 issues | Fix all data quality issues for mapy2naturcunicz. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
odataudgedu | ES/Federal/opendata/odataudgedu.yaml | 6 issues | Fix all data quality issues for odataudgedu. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
datalightmatorg | World/Federal/opendata/datalightmatorg.yaml | 6 issues | Fix all data quality issues for datalightmatorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
srvarcgis1eastuscloudappazurecom | World/Federal/geo/srvarcgis1eastuscloudappazurecom.yaml | 6 issues | Fix all data quality issues for srvarcgis1eastuscloudappazurecom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
18117111768 | World/Federal/geo/18117111768.yaml | 6 issues | Fix all data quality issues for 18117111768. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
1901124334 | World/Federal/geo/1901124334.yaml | 6 issues | Fix all data quality issues for 1901124334. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
14191172224 | World/Federal/geo/14191172224.yaml | 6 issues | Fix all data quality issues for 14191172224. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
wwwsinasmzcom | World/Federal/geo/wwwsinasmzcom.yaml | 6 issues | Fix all data quality issues for wwwsinasmzcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
waodnivecorg | World/Federal/geo/waodnivecorg.yaml | 6 issues | Fix all data quality issues for waodnivecorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
geoportaltachiragobve | VE/Federal/geo/geoportaltachiragobve.yaml | 6 issues | Fix all data quality issues for geoportaltachiragobve. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
datosabiertostacuaremboopendataarcgiscom | UY/UY-TA/geo/datosabiertostacuaremboopendataarcgiscom.yaml | 6 issues | Fix all data quality issues for datosabiertostacuaremboopendataarcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
biodiversitybtgeoserver | BT/geo/biodiversitybtgeoserver.yaml | 6 issues | Fix all data quality issues for biodiversitybtgeoserver. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
metadatosobraspublicasgobar | AR/geo/metadatosobraspublicasgobar.yaml | 6 issues | Fix all data quality issues for metadatosobraspublicasgobar. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
wwwmapotecadigitalunseduar | AR/geo/wwwmapotecadigitalunseduar.yaml | 6 issues | Fix all data quality issues for wwwmapotecadigitalunseduar. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
kuenoiowarnemuendede | DE/DE-MV/geo/kuenoiowarnemuendede.yaml | 6 issues | Fix all data quality issues for kuenoiowarnemuendede. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
haleandheartystagingderilinxcom | BR/Federal/opendata/haleandheartystagingderilinxcom.yaml | 6 issues | Fix all data quality issues for haleandheartystagingderilinxcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
19314442171 | BR/Federal/opendata/19314442171.yaml | 6 issues | Fix all data quality issues for 19314442171. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_OWNER_LINK, and 3 more
datasmartidfservices | FR/Federal/opendata/datasmartidfservices.yaml | 6 issues | Fix all data quality issues for datasmartidfservices. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
journalofficieldatadilaopendatasoftcom | FR/Federal/opendata/journalofficieldatadilaopendatasoftcom.yaml | 6 issues | Fix all data quality issues for journalofficieldatadilaopendatasoftcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
geocataloguelanniontregorcom | FR/Federal/geo/geocataloguelanniontregorcom.yaml | 6 issues | Fix all data quality issues for geocataloguelanniontregorcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
datosabiertoscastrourdialesnet | ES/ES-CB/opendata/datosabiertoscastrourdialesnet.yaml | 6 issues | Fix all data quality issues for datosabiertoscastrourdialesnet. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
wwwtenerifedatacom | ES/Federal/opendata/wwwtenerifedatacom.yaml | 6 issues | Fix all data quality issues for wwwtenerifedatacom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
maps2dcgisdcgov | US/US-DC/geo/maps2dcgisdcgov.yaml | 5 issues | Fix all data quality issues for maps2dcgisdcgov. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
mapscherokeecountyncgov | US/US-NC/geo/mapscherokeecountyncgov.yaml | 5 issues | Fix all data quality issues for mapscherokeecountyncgov. Issues: MISSING_TOPICS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
lmsjupiterflus | US/US-FL/geo/lmsjupiterflus.yaml | 5 issues | Fix all data quality issues for lmsjupiterflus. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
tiles4arcgiscom | US/US-CA/geo/tiles4arcgiscom.yaml | 5 issues | Fix all data quality issues for tiles4arcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
mapslacityorg | US/US-CA/geo/mapslacityorg.yaml | 5 issues | Fix all data quality issues for mapslacityorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
datasonomaopenspaceorg | US/US-CA/geo/datasonomaopenspaceorg.yaml | 5 issues | Fix all data quality issues for datasonomaopenspaceorg. Issues: MISSING_TAGS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
performanceprovidencerigov | US/US-RI/opendata/performanceprovidencerigov.yaml | 5 issues | Fix all data quality issues for performanceprovidencerigov. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
gisportaltownofchapelhillorg | US/Federal/geo/gisportaltownofchapelhillorg.yaml | 5 issues | Fix all data quality issues for gisportaltownofchapelhillorg. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
env1arcgiscom | US/Federal/geo/env1arcgiscom.yaml | 5 issues | Fix all data quality issues for env1arcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
salinasgiscisalinascaus | US/Federal/geo/salinasgiscisalinascaus.yaml | 5 issues | Fix all data quality issues for salinasgiscisalinascaus. Issues: MISSING_TOPICS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
gissurryinfonet | US/Federal/geo/gissurryinfonet.yaml | 5 issues | Fix all data quality issues for gissurryinfonet. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
egishudgov | US/Federal/geo/egishudgov.yaml | 5 issues | Fix all data quality issues for egishudgov. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
mappingmitchellcountyorg | US/Federal/geo/mappingmitchellcountyorg.yaml | 5 issues | Fix all data quality issues for mappingmitchellcountyorg. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
tiledbasemapsarcgiscom | US/Federal/geo/tiledbasemapsarcgiscom.yaml | 5 issues | Fix all data quality issues for tiledbasemapsarcgiscom. Issues: MISSING_LANGS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
insideidahoorg | US/Federal/geo/insideidahoorg.yaml | 5 issues | Fix all data quality issues for insideidahoorg. Issues: MISSING_LANGS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
web2coottertailmnus | US/Federal/geo/web2coottertailmnus.yaml | 5 issues | Fix all data quality issues for web2coottertailmnus. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
gislojicorg | US/Federal/geo/gislojicorg.yaml | 5 issues | Fix all data quality issues for gislojicorg. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
opengisdetroitmigov | US/Federal/geo/opengisdetroitmigov.yaml | 5 issues | Fix all data quality issues for opengisdetroitmigov. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
aquariusatgeoplanufledu | US/Federal/geo/aquariusatgeoplanufledu.yaml | 5 issues | Fix all data quality issues for aquariusatgeoplanufledu. Issues: MISSING_LANGS, MISSING_OWNER_LINK, MISSING_IDENTIFIERS, and 2 more
atlas2wvgswvnetedu | US/Federal/geo/atlas2wvgswvnetedu.yaml | 5 issues | Fix all data quality issues for atlas2wvgswvnetedu. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
elevation3darcgiscom | US/Federal/geo/elevation3darcgiscom.yaml | 5 issues | Fix all data quality issues for elevation3darcgiscom. Issues: MISSING_LANGS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
gisarcsrv1wustledu | US/US-MO/geo/gisarcsrv1wustledu.yaml | 5 issues | Fix all data quality issues for gisarcsrv1wustledu. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
kgsukyedu | US/US-KY/geo/kgsukyedu.yaml | 5 issues | Fix all data quality issues for kgsukyedu. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
codeforhuntsvilleopendatasoftcom | US/US-AL/opendata/codeforhuntsvilleopendatasoftcom.yaml | 5 issues | Fix all data quality issues for codeforhuntsvilleopendatasoftcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
nhgeodataunhedu | US/US-NH/geo/nhgeodataunhedu.yaml | 5 issues | Fix all data quality issues for nhgeodataunhedu. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
datasimelmtpsgobsv | SV/Federal/indicators/datasimelmtpsgobsv.yaml | 5 issues | Fix all data quality issues for datasimelmtpsgobsv. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
statdbnsogovmt | MT/indicators/statdbnsogovmt.yaml | 5 issues | Fix all data quality issues for statdbnsogovmt. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
41948611 | MZ/indicators/41948611.yaml | 5 issues | Fix all data quality issues for 41948611. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
gisportalmtncomgh | GH/Federal/geo/gisportalmtncomgh.yaml | 5 issues | Fix all data quality issues for gisportalmtncomgh. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
tingsrydvicmetrianu | NU/geo/tingsrydvicmetrianu.yaml | 5 issues | Fix all data quality issues for tingsrydvicmetrianu. Issues: MISSING_TOPICS, MISSING_OWNER_LINK, MISSING_IDENTIFIERS, and 2 more
spatialnaturalsciencesbe | BE/BE-BRU/geo/spatialnaturalsciencesbe.yaml | 5 issues | Fix all data quality issues for spatialnaturalsciencesbe. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
giskenhacoke | KE/Federal/geo/giskenhacoke.yaml | 5 issues | Fix all data quality issues for giskenhacoke. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 2 more
gisportalkengencoke | KE/Federal/geo/gisportalkengencoke.yaml | 5 issues | Fix all data quality issues for gisportalkengencoke. Issues: MISSING_LANGS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
atlasnpdcgovtnz | NZ/NZ-TKI/geo/atlasnpdcgovtnz.yaml | 5 issues | Fix all data quality issues for atlasnpdcgovtnz. Issues: MISSING_TOPICS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 2 more
idpnz | NZ/Federal/opendata/idpnz.yaml | 5 issues | Fix all data quality issues for idpnz. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
mapsesgovtnz | NZ/Federal/geo/mapsesgovtnz.yaml | 5 issues | Fix all data quality issues for mapsesgovtnz. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
mapsgdcgovtnz | NZ/Federal/geo/mapsgdcgovtnz.yaml | 5 issues | Fix all data quality issues for mapsgdcgovtnz. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
antnzgeodatanz | NZ/Federal/geo/antnzgeodatanz.yaml | 5 issues | Fix all data quality issues for antnzgeodatanz. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
wwwiderccu | CU/geo/wwwiderccu.yaml | 5 issues | Fix all data quality issues for wwwiderccu. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
sigherediagocr | CR/CR-H/geo/sigherediagocr.yaml | 5 issues | Fix all data quality issues for sigherediagocr. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 2 more
