name	counter
Education, culture, and sport	5
Justice, legal system, and public safety	3
Mobility	11
utility and governmental services	7
earth observation and environment	2
Administration	5
Geographical names, addresses, buildings	3
public administration	5
Legal	3
Justice, legal systems and public safety	3
Science, Technology, Innovation	2
science_and_technology	2
Organisations and locations	1
Research data	8
Research and development	7
Social Protection	4
social conditions	1
URBAN_DEVELOPMENT	1
TOURISM	5
CULTURE	3
Mapping and earth observation	1
Public management	1
Legislation	3
Social welfare and society	1
Electoral	1
Urbanism	1
INSPIRE themes	5
Geographic Information Systems	8
Administrative and Political Boundaries	1
Agriculture, Forestry, Fisheries	2
AGRICULTURE_FORESTRY	1
http://publications.europa.eu/resource/authority/dataset-theme/TRAN	1
http://publications.europa.eu/resource/authority/dataset-theme/ENVI	1
http://publications.europa.eu/resource/authority/dataset-theme/GOVE	1
http://publications.europa.eu/resource/authority/dataset-theme/AGRI	1
http://publications.europa.eu/resource/authority/dataset-theme/EDUC	1
http://publications.europa.eu/resource/authority/dataset-theme/ECON	1
geography	76
technology	14
Social life	1
Multidomain statistics	1
Population and Housing Census	1
Imagery base maps earth cover	7
Not specified	30
OCEAN, MARINE AND COASTAL DATA	1
Land Use	22
gov-statistics	1
region-data	1
open-data	2
Goverment & Public Sector	1
Finance	19
Commerce	2
Culture and Leisure	2
Treasury	1
Rural Environment	1
Healthcare	1
Public Sector	1
Society and Welfare	1
Town planning and Infrastructures	1
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme	1
To be determined from the website's listed datasets or provided elsewhere	1
http://publications.europa.eu/resource/authority/data-theme/EDUC	2
http://publications.europa.eu/resource/authority/data-theme/TRAN	24
Agriculture, forestry and rural	1
infrastructure	40
Urbanismo e infraestructuras	1
Turismo	1
Politics	2
Sports	1
government-public-sector	6
science-technology	4
Ciencia y tecnología	1
Comercio	1
Cultura y ocio	1
Deporte	1
Demografía	1
Economía	1
Educación	1
Empleo	1
Hacienda	1
Industria	1
Medio Rural	1
Medio Ambiente	1
Legislación y Justicia	1
Salud	2
Sector Público	1
Sociedad y Bienestar	1
Transporte	2
Marine	1
environmental monitoring	1
science and technology	18
biodiversity	11
CLIM	4
WEATH	1
ENVR	1
LND	1
Public sector information	1
Utility and government services	5
Health and safety	1
Territory	2
Agriculture, Fisheries, Forestry & Food	1
Language	1
Research (Science & Technology)	1
Administrative and social	1
Earth sciences/geospatial	1
covid19	1
Oceanographic data	2
Environmental monitoring	2
meteorological-geographical features	2
Geographical data	9
Social protection and welfare	11
Environment and energy	2
Integration and migration	1
Social integration and income	1
Business	9
Geography and climate	1
Prices and consumption	1
Elections	5
Statistical	6
REGIONS_AND_CITIES	19
SCIENCE_AND_TECHNOLOGY	7
Regional statistics	8
Culture and leisure	2
geographical	182
land_use	12
cadastre	4
Planning cadastre	24
geospatial, environment, science, government, planning, transportation, agriculture	1
utilities	4
iot	1
GENERAL	5
geographic	43
Regional development	4
LAND_USE	8
PUBLIC_ORDER_SAFETY	5
REGIONAL_DEVELOPMENT	1
EDUCATION_CULTURE	3
SOCIAL_PROTECTION	1
Administrative units (GEMET)	1
Goverment and public sector	4
Budget	5
Others...	1
GOV	8
URBA	3
Region, City, Country	1
Administrative Boundaries	1
Geographical names, Locations	1
Education, Culture, and Sport	1
Geographical Information	7
Regional statistics and geographical names	1
Tourism and leisure	1
Mapping	25
Geodata, Map data	1
Education, Culture, and Sport; Research, Technology, and Innovation; Society, Demography, and Social Question	1
AGRRI	1
research_and_innovation	1
education_and_culture	2
scienceAndTechnology	5
earth sciences	1
environmental protection	1
Earth Observation	3
agriculture, fisheries, forestry and food	8
GEO	15
Business and economy	7
Crime and justice	5
Defence	2
Government spending	1
Towns and cities	2
Digital service performance	2
Government reference data	1
REGL	1
LEGA	1
Research, science and technology	5
Earth and Environment	1
urban	3
Public order, safety and emergency services	2
research and innovation	3
welfare	2
equality	1
migration	1
Transport and mobility	3
Property	7
Research and experimental development results	2
Public order, justice and legal system	3
research_data	1
Science, technology and research	6
Research & Science	2
geographical-names	12
transport-networks	4
boundaries	29
land_management	2
Planning & construction	1
Public safety	5
Government and public sector (assumed from content; adjust with official theme list)	1
Societal	2
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme/A : Population and society	1
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme/ENV : Environment	1
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme/TRANS : Transport	1
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme/GOVE : Government and public sector	1
Society, Economy, Environment, Geographic, Buildings, Topography, Transport, Planning, Resources, Agriculture	1
People, communities and equalities	1
Children, young people and education	1
Employment and business	1
Geospatial/geographical	1
Structure	13
Utilities and Communications	1
Economy and business	2
Finance sector	1
Income and earnings	1
LOCATION	27
EDUCATION_AND_CULTURE	1
Finance and banking	1
Economic and Finance	2
Population, Census	1
GEOSPATIAL DATA	2
governance	11
city_planning	1
social_care	1
locations	6
Public finance and budget	1
city_management_utilities	1
climate_weather	1
commerce_industry	1
development_geography_land	1
employment_labour	1
food	3
technology_broadcasting	1
law_security	1
election_legislature	1
miscellaneous	1
recreation_sports_culture	1
community_social_welfare	1
Geographic information systems, Topography, Boundaries	1
Geographic Information Systems (GIS)	6
labour	2
http://publications.europa.eu/resource/authority/data-theme/REGI	14
Unknown (not detailed in source)	1
Public order, safety and judicial matters	1
Heritage	3
Economic	5
other	8
Justice	5
Regional	1
Cities/Towns	1
STANDARDS	1
TECHNOLOGIES	1
land_cover	17
AGRICULTURE	2
STRUCTURE	5
Statistical and economic	1
atmosphere	6
social issues	1
public sector	3
non-profit	1
Pollution	1
REGIONS_CITIES	4
AGRICULTURE_FISHERY_FORESTS	1
GEOGRAPHICAL	11
unspecified	2
GE	8
Geographical grid systems	38
Geographical imagery	1
Scientific and statistical data	1
http://publications.europa.eu/resource/authority/data-theme/POPU	1
Government & public sector	5
Administration and Public Finance	1
Business,Household,Economy	1
Agriculture,Forestry and Fisheries	1
Education,Culture,Sports and Life	1
Energy and Water	1
Information and Communication,Science and Technology	1
International	1
Justice,Security and Environment	1
Land and Climate	1
Population and Households	1
Social Security and Sanitation	1
Transport and Sightseeing	1
Domestic Trade and Services	1
Housing and Real Estate	1
Economic Indicators	1
Public Safety	8
Health and Environment	1
Infrastructure and Utilities	2
Social Services	2
Urban Planning	2
Sustainability	2
Cultural and Recreational	1
emergency	2
生活・環境	1
子ども・教育	1
保健・医療・福祉	1
観光・文化・自然	1
しごと・産業	1
まちづくり	1
地域振興	1
県政情報	1
統計データ	1
People and society	3
Science and research	1
Economics	4
Health and well-being	1
Environment, water management	1
Geographical names, Addresses, Statistical units	1
agriculture, forestry and fisheries	10
tourist	1
Regional and urban development	2
Emergency management and public safety	1
Food	1
Health Care	1
Disaster Recovery	1
Logistics	1
Weather	4
Technology	14
Unification	1
Law	1
Land management	3
local economy	1
CULTURE_AND_TOURISM	1
JUSTICE_AND_SECURITY	1
government-and-public-sector	5
International affairs	1
Geographical information systems, maps, planning	1
map	1
Geographical Information Systems	5
INSPIRE themes (more granular if known, otherwise broad)	1
Not specified in source	3
Social and Welfare Issues	1
Cadastre	2
Demographic and social statistics	1
STATISTICS	7
Education, training, learning and employment	1
Topography	5
Utilities and governmental services	2
Population and demographic processes	1
Economic statistics	1
Gender statistics	1
AGRI_FISH_FOREST	2
disaster risk management	1
Publications, libraries and museums	1
Population and living conditions	1
geographical_grid_systems	7
government_services_and_agencies	1
(Please specify from EU DCAT-AP themes)	1
geographical names and reference systems	1
geographical grids systems	1
imagery base maps earth cover	3
administrative units	10
earth science	2
minerals	2
Transparency	2
Public information	1
Geographical names, geographical datasets	1
heritage	1
archaeology	1
engineering	1
design	1
Social Science	1
fishing and fisheries resources	1
environment and natural resources	1
justice and safety	1
economy and finance	4
international topics	1
Defense	2
education, culture, sport	1
geographical_information	3
all	2
labour market	3
Geographical locations	2
ECO	1
meteorological_geographical_features	2
oceans_marine_regions	1
marine	3
legal	6
species, habitats and biodiversity	1
nature_heritage	1
protected_areas	1
marine_areas	1
science, technology, research	1
environmental	20
administrativeUnits	5
populationAndSociety	4
mapping	4
utilities-communication	1
environmental monitoring facilities	8
climatologyMeteorologyAtmosphere	4
geographicalNames	17
maritime	1
?	2
fishery,oceanographic	1
territory	2
Enviroment	2
Public Order, Justice and Fundamental Rights	1
JUSTICE	1
Science, technology	2
Research and experimental development	9
rural development	1
Not specified (requires extraction from catalog content)	1
Registers and inventories	1
Societal well-being	1
Regions Cities & Rural development	1
Public Order, Justice And Legal Systems	1
Government And Public Sector	1
land-use	11
Geographical Grid Systems	4
planningCadastre	14
Meteorological-geographical Features	1
Mineral Resources	1
Utility and Governmental Services	6
Geographical names and addresses	2
Transportation, mobility and logistics	2
Regional structures and statistics	1
sports	1
Not specified (requires further investigation or value may be 'Other')	1
Geographical information systems (GIS)	2
Region and cities	11
unknown	3
geographical names, cadastral parcels, buildings, transport networks, land use, environmental monitoring facilities, statistical units, production and industrial facilities, agriculture, forestry and fisheries, elevation, orthoimagery	1
AGRICULTURE, FORESTRY AND FISHERIES	2
POPULATION AND SOCIETY	7
Structure: Buildings, facilities, land	1
metadata	1
spatial data infrastructure	1
economic	11
Labour	2
LOCAL	1
intellectual property, innovation	1
POLITICS AND ELECTIONS	1
Research & Innovation: Open Science, Data, and Information	1
POPULATION	7
REGIONAL	1
Operations and expenditure	1
Fisheries	4
AGRICULTURE, FISHERIES, FORESTRY AND FOOD	5
Governance and public sector	5
Communication	3
Culture, tourism and sport	2
General	3
Urban and territorial issues	1
JUSTICE, LEGAL SYSTEM AND PUBLIC SAFETY	2
EDUCATION, CULTURE AND SPORT	2
infra	1
Public Information	1
Regional and local government	5
governance, justice, law, public safety	1
imagery	5
regions	7
Earth observation	2
societal	4
social protection	4
communications	1
EC - Economy and Finance	1
SO - Social	1
EP - Environment and Pollution	1
Economy, business and finance	2
No info available	1
earth observation	4
EMERGENCY MANAGEMENT	2
Food Security	1
DEMOGRAPHY	2
ECONOMY_FINANCE	2
research and experimental development	1
education and training	2
science, technology and innovation	2
Science, Technology, and Research	1
ADMINISTRATIVE UNITS	2
Research and Science	2
Information and communication	2
research-information	1
education-culture-sport	1
Geographical names, land cover and land use	2
Administrative and social units	1
networks	1
graph data	1
social network data	1
machine learning data	1
research data	1
social sciences	1
behavioral sciences	1
earth_observation	3
URBAN_PLANNING	3
Public order, justice and rights	4
Safety	5
Taxes and government revenue	1
trans	3
busi	1
envi	2
gove	2
heal	1
ener	1
just	1
leis	1
LOCATIONS AND GEOGRAPHICAL NAMES	1
REGION AND CITIES	2
PROPERTY	1
ECON, Government, Transportation, Society, Justice and legal system, Environment, Education, culture and sport	1
INSPIRE themes (if mapping to EU vocabulary): Not clearly specified, but data appears to cover several themes including government, environment, planning, public safety, and utilities.	1
DCAT-AP mapping: Government and public sector, Environment, Planning (multiple themes covered)	1
crime	2
INSPIRE Themes, likely e.g., Boundaries, Transportation, Environment, but not available in explicit fields; if precise mapping is required, default to null	1
REGIO	2
LAND	11
Geographic information systems (GIS)	4
buildings_and_structures	2
buildings and housing	1
imagery and base maps	1
natural risk zones	3
human health and safety	1
production and industrial facilities	4
borders	3
meteorological geographical features	3
oceanographic geographical features	2
statistical units	6
disaster management	1
energy resources	3
mineral resources	4
climatological meteorological geographical features	1
protected sites	5
facilities and structure	1
others	2
meteo_geographical_features	1
statistical_units	2
buildings	29
accommodation	1
cadastral_parcels	5
protected_sites	5
orthoimagery	7
Business and industry	1
Public Order, Safety and Emergency Services	1
Governance, public sector and public services	1
statistical	3
Recreation	3
Services	1
Geography and infrastructure	1
Agriculture, forestry and fishing	3
Science, Technology & Research	1
geospatial,transportation,government	1
Planning & cadastre	4
Utilities & communication	1
Geographical names and geographical information systems	10
Economy, finance and taxation	1
Geographical names, geology	3
https://data.europa.eu/mqa/datasets/themes/administration-and-finance	1
https://data.europa.eu/mqa/datasets/themes/geographical	1
https://data.europa.eu/mqa/datasets/themes/environment	1
https://data.europa.eu/mqa/datasets/themes/education-and-work	1
region and cities	1
government spending	1
Administrative and political information	1
http://publications.europa.eu/resource/authority/data-theme/ECON	7
http://publications.europa.eu/resource/authority/data-theme/SOCI	14
To be determined per dataset; not available from URL alone	1
Emergency	1
Not determined from HTML metadata or visible text	1
public order, justice	1
JUSTICE_LEGAL_SYSTEM_AND_PUBLIC_SAFETY	2
EMPLOYMENT	1
TOURISM_RECREATION	1
LOCATIONS AND GEOGRAPHIC INFORMATION	1
fisheries	6
population_and_society	6
Science & technology	16
topography	7
transport networks	23
Infrastructure/Utilities	1
STAT	1
Earth science	2
Geoscience	1
Oceanography	10
Atmospheric science	1
science_technology	2
communication	2
tourism_transport	1
development_assistance	1
Labour and Labour Market	1
Wages	1
Migration	1
Conditions of Work	1
governmentAndPublicSector	5
international trade	1
statistics,population,economy,forestry,gender,development	1
Fishery	1
Forestry	2
Nutrition	3
ECON: Economy and finance	3
SOCI: Population and society	3
GOVE: Government and public sector	3
EDUC: Education, culture and sport	2
Research and Experimental Development	2
Science technology	1
Agri-food	2
Natural resources	3
humanitarian response	1
crisis data	1
disasters	1
food security	2
water	9
International development and aid	1
geographic information and services	1
statistics and research	1
Technology and Standards	1
Government and Public Administration	1
DATA	1
Governance and public order	1
sport	3
Government and public administration	4
Not specified in provided data	2
environmentalMonitoringFacilities	4
transportNetworks	7
protectedSites	4
landCover	6
cadastralParcels	5
geographical information	2
GE.DGM	1
GE.DGM.REG	1
GE.DGM.STR	1
GE.ADM	1
GE.REG	1
GE.STR	1
GE.URB	1
security	2
Mapping and surveying	1
Water resources	3
Not specified (in search results)	1
Land_use	1
Government_and_public_sector	1
Geographical names, Addresses, Cadastral and land information	1
Earth observation and environment	17
(Not extracted; typical: Environment, Government and public sector, Population and society)	1
population_distribution_—_demography	1
POPU	1
Geophysics	1
Geodesy	1
Atmospheric Science	1
Environmental Monitoring Facilities	5
historical	2
administrative boundaries	2
Hydrogeology	1
Geo-engineering	1
Area management/restriction/regulation zones and reporting units	7
ENVIRONMENT PROTECTION	1
METEOROLOGICAL GEOGRAPHICAL FEATURES	1
STATISTICAL UNITS	1
INLAND WATERS	1
TRANSPORT NETWORKS	1
inland waters	1
Unknown	17
earth_science	2
GE.GEOLOGY	1
GE.BOUNDARIES	1
GE.ENVIRONMENT	1
GE.TRANSPORT_NETWORKS	1
GE.SOIL	1
GE.LAND_USE	1
GE.PROTECTED_SITES	1
Oceans and seas	5
Utilities and government services	4
Geographic information systems and services	4
Land cover and land use	2
Addresses and cadastre	1
Not determined from URL, requires further inspection. Example values: 'http://publications.europa.eu/resource/authority/data-theme/ENER', 'http://publications.europa.eu/resource/authority/data-theme/ENVI'	1
Geographic Information and Maps	1
services	3
Social and health	1
Scientific research	3
scienceTechnology	7
educationTrainingResearch	1
Education, research, and innovation	1
Research & innovation	1
research, education	1
SOCIAL ISSUES	1
Science and Research	1
education;culture;arts;health;science;economy	1
Research, science, technology	1
Publications	1
Government and public sector (for publicly funded university research outcomes)	1
Science, technology & innovation	1
geographicInformationSystemsGeospatialData	1
GEOGRAPHICAL INFORMATION SYSTEMS	14
earth_observation_and_environment	1
oceanographic_geographical_features	2
Government & Public Sector	7
ELI: http://publications.europa.eu/resource/authority/data-theme/ENVI	1
ELI: http://publications.europa.eu/resource/authority/data-theme/GOVE	1
Regional planning, land monitoring	1
Population distribution and demography	5
Meteorological stations	1
Hydrological stations	1
Oceanographic stations	1
utilities and government services	2
http://publications.europa.eu/resource/authority/data-theme/HEAL	5
Geographic Information System (GIS)	2
INSPIRE	6
Coverage Classification	1
research_innovation	1
education_culture	1
Language resources	1
Research and technology development	1
HISTORICAL ARCHIVES	1
Inland Waters	1
Military	1
Biology	1
Index Map	1
Basemaps	1
maps	4
geographical infrastructure	2
regional and local authorities	1
Geospatial data	11
demographics	5
Land cover/use, cadastre and buildings	1
Geodetic, land, and marine reference data	1
Atmospheric and meteorological data	1
Elevation, terrain and orthoimagery	1
Hydrography, oceanography, and inland water	1
Legal and statistical references for spatial data	1
Regions	3
Statistical Services	2
GEOGRAPHICAL_INFORMATION	9
1	1
2	1
3	1
4	1
6	1
9	1
10	1
12	1
16	1
regions_and_cities	4
government_and_public_sector	10
demographic	3
UTILITIES	3
Daftar data tidak diekstraksi secara otomatis, silakan sesuaikan dengan data yang tersedia di portal	1
healthcare	1
Local government	2
Finances and public contracts	1
Culture and Arts	1
SOCIAL_PROTECTION_AND_SOCIAL_WELFARE	2
Culture, arts and sport	1
AGRICULTURE_FISHERIES_FORESTRY	1
Geographic Information	8
Not available in page metadata	1
Work and Employment	1
Announcements	1
Agriculture, Veterinary and Fisheries	1
Procurement	1
Health and Social Welfare	1
Artificial intelligence	1
Machine learning	1
Industry, business and employment	1
regional-structures	1
Public Order, Safety	1
Emergency Management	2
Not specified in raw text	3
Geographic data	8
Geographical names, address and cadastral information	1
Animal Services	1
Service Oshawa	1
geographic_information_systems	1
AGRICULTURE_FORESTRY_AND_FISHERIES	2
geodata,topography,transportation,planning	1
Not available: To be determined per dataset.	1
Multiple	1
Emergency management	10
Building data	1
Soil data	1
Meteorological/climatological geographical features	1
Geospatial information	1
public_order and safety	1
regional and local statistics	1
Government and public sectors	1
BOUNDARIES	12
Justice, law and order	1
Public order and safety	5
Crime	3
geographical location (boundaries, transport networks, environmental information)	1
Culture, recreation and religion	2
Water quality	1
geographical-information	1
agriculture-fisheries-forestry-food	1
Societal indicators	1
Urban environment	2
Science/Research	1
Environment,Agriculture, fisheries, forestry and food	1
Not specified (no explicit list from source URL or extractable from description)	1
geographicalInformation	1
GEOGRAPHICAL_NAMES	1
Public order	2
Justice and legal system	1
CLIMATE	3
Unknown (not specified in the input)	1
energia	1
Not explicitly stated in scraped metadata	1
LOCATIONS	8
agriculture-fisheries-forestry	1
justice-legal-system-public-safety	1
regions-cities	1
Towns, cities and regions	1
Business and competition	2
government_public_sector	3
Not explicitly specified in sources	1
Land use and planning	7
EN	3
Geographical names and geographical information systems (GIS)	1
Not extractable from given source; typically could include e.g. 'Government' or 'Environment' based on platform context	1
Biodiversity	6
Scientific and technical	1
Not provided in metadata	1
{"uri": "http://publications.europa.eu/resource/authority/data-theme/GOVE", "label": "Government and public sector"}	1
{"uri": "http://publications.europa.eu/resource/authority/data-theme/ECON", "label": "Economy"}	1
{"uri": "http://publications.europa.eu/resource/authority/data-theme/SOCI", "label": "Population and society"}	1
http://publications.europa.eu/resource/authority/data-theme/AGRI	3
http://publications.europa.eu/resource/authority/data-theme/ENER	4
http://publications.europa.eu/resource/authority/data-theme/HOUS	1
Planning & Housing	1
Fisheries & Food	1
Economy & Finance	1
economic_development	1
water_supply	1
sanitation	1
waste_management	2
environmental_health	1
economic_activity	1
Production, technology and research	1
ENV: Environment	3
ENV: Nature and biodiversity	1
Housing, land use, and infrastructure	1
land administration	1
Planning and zoning	2
Not specified in accessible metadata	1
geographicinformation	1
geographical_systems	3
administration_and_government	1
education_culture_and_sport	1
Oceans and coastal areas	1
Population structure and society	1
social_protection	1
public_safety	1
reporting	1
Public health and safety	1
Utilities and public services	1
Land use planning	10
AdministrativeUnits	2
PublicSafety	1
Cartography/Geographical reference systems	1
geonetwork.op.europa.eu/eu-data-theme/geospatial	1
recreation	4
Geographical names, geographical information systems	2
Regional and Urban Planning	1
Mapping / Addressing	1
