name,fixed,counter
"education, research",,1
Not applicable,,10
Research and Teaching,,1
Science and Technology,,2
UtilitiesCommunication,Utilities / Communication,35
transportion,,2
SOCIETY,Society,29
LOCATION,Location,22
STRUCTURE,Structure,12
geospatial,,5
UTILITIES/COMMUNICATION,Utilities / Communication,2
BOUNDARIES,Boundaries,22
INLAND WATERS,Inland Waters,4
"Temporarily not available, but typical values from ISO19115 include: society, environment, transportation, structure; for precise values refer to the portal directly.",Society,1
036,,1
016,,4
013,,3
societal,Society,11
population,Society,25
ISO 19115 Topic Category: boundaries,Boundaries,1
ISO 19115 Topic Category: location,Location,1
ISO 19115 Topic Category: society,Society,1
Imagery/Base Maps,Imagery / Base Maps / Earth Cover,1
Administrative,,2
Intellectual property and licensing,,1
Technology,,2
GeoscientificInformation,Geoscientific Information,52
Not specified in input,,1
FARMING,Farming,6
ECONOMY,Economy,12
PLANNINGCADASTRE,Planning / Cadastre,2
UTILITIESCOMMUNICATION,Utilities / Communication,4
ISO: Transportation,Transportation,1
ISO: Economy,Economy,1
ISO: Environment,Environment,1
ISO: Energy,,1
Infrastructure,Structure,8
Not available in source,,1
landUse,,6
soil,,3
climate,Climatology / Meteorology / Atmosphere,9
Not specified in ISO19115:2003,,1
EDUCATION,,5
HEALTH,Health,12
SOCIAL,,2
GOVERNMENT,,2
Inland Waters,Inland Waters,26
Intelligence/Military,Intelligence / Military,6
Farming,Farming,40
Imagery/Base Maps/Earth Cover,Imagery / Base Maps / Earth Cover,6
Utilities/Communication,Utilities / Communication,12
Transport,Transportation,1
Trade,,1
"Climatology, meteorology, atmosphere",Climatology / Meteorology / Atmosphere,12
City planning,Planning / Cadastre,1
data management,,1
"utilitiesCommunication, boundaries, location",Boundaries,1
ImageryBaseMapsEarthCover,Imagery / Base Maps / Earth Cover,61
UNSPECIFIED,,1
industry,,1
"boundaries, society, transportation, utilitiesCommunication, planningCadastre, environment, economy",Environment,1
Administrative units,,20
InlandWaters,Inland Waters,24
Scientific research and innovation,,1
notApplicable,,1
Education and research facilities,,1
Research infrastructure,Structure,1
not applicable,,4
"Unspecified (repository is multidisciplinary, not specifically geographic)",,1
Cadastral,,2
Elevation,Elevation,39
Research,,19
Not specified,,29
Societies,Society,1
https://www.iso.org/standard/26020.html,,2
To be determined from the website's listed datasets or provided elsewhere,,1
http://inspire.ec.europa.eu/theme/ed,,1
http://inspire.ec.europa.eu/theme/gn,,1
http://inspire.ec.europa.eu/theme/ps,,1
locales,,1
environmental,Environment,1
Imagery base maps earth cover,Imagery / Base Maps / Earth Cover,16
Climatology meteorology atmosphere,Climatology / Meteorology / Atmosphere,2
Climatology/meteorology/atmosphere,Climatology / Meteorology / Atmosphere,2
Imagery/baseMaps/earthCover,Imagery / Base Maps / Earth Cover,4
Intelligence/military,Intelligence / Military,2
Planning/cadastre,Planning / Cadastre,3
Utilities/communication,Utilities / Communication,3
"Population, society and culture",Society,1
Utilities and communication,Utilities / Communication,7
"Imagery, base maps, earth cover",Imagery / Base Maps / Earth Cover,3
Earth Observation,,1
ClimatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,41
SCIENCE,,3
Culture,,4
"environment, farming, elevation, society, economy, utilitiesCommunication, structure, transportation, inlandWaters, imageryBaseMapsEarthCover, location, health, oceans, boundaries, climatologyMeteorologyAtmosphere, intelligenceMilitary, biota",Farming,1
"Society, health, education, or demographic information",Health,1
GEOSCIENTIFIC_INFORMATION,Geoscientific Information,15
Location/Geographical names,Location,1
Boundaries/Society,Boundaries,1
INTELLIGENCE_MILITARY,Intelligence / Military,2
roads,,1
Base maps / land cover,Imagery / Base Maps / Earth Cover,1
administrativeUnits,,3
002,,2
003,,1
004,,6
006,,2
007,,6
015,,2
"boundaries, administrative",Boundaries,1
"population, society and culture",Society,1
"structure, cadastre, planning",Planning / Cadastre,1
Research data,,1
intellectual,,1
Scientific Data,,1
Academic Research,,1
Not Applicable,,10
transportation (assumed; official ISO19115 categories from official source needed),Transportation,1
"Boundaries, Government units, Administrative units",Boundaries,1
"Environment, environmental resources, protection and conservation",Environment,1
"Planning/cadastre, land use, land cover, property, cadastre",Planning / Cadastre,1
"Societal demographics, health and welfare",Health,1
ISO19115:boundaries,Boundaries,1
ISO19115:environment,Environment,1
ISO19115:location,Location,1
ISO19115:transportation,Transportation,1
"Society, Economy, Environment, ImageryBaseMapsEarthCover, Structure, Boundaries, Health, InlandWaters, Transportation",Environment,1
"Education, culture, and society",Society,1
location (ISO 19115),Location,1
boundaries (ISO 19115),Boundaries,2
Utilities,Utilities / Communication,1
CLIMATOLOGY_METEOROLOGY_ATMOSPHERE,Climatology / Meteorology / Atmosphere,3
ELEVATION,Elevation,5
IMAGERY_BASE_MAPS_EARTH_COVER,Imagery / Base Maps / Earth Cover,6
INLAND_WATERS,Inland Waters,3
OCEANS,Oceans,8
PLANNING_CADASTRE,Planning / Cadastre,3
UTILITIES_COMMUNICATION,Utilities / Communication,4
BIOTA,Biota,5
administrative,,3
"Boundaries, Topography",Boundaries,1
government,,22
culture,,5
agriculture,Farming,18
http://www.isotc211.org/2005/gmd#MD_TopicCategoryCode_015,,1
http://www.isotc211.org/2005/gmd#MD_TopicCategoryCode_016,,1
cadastral,,8
statistical data,,3
other,,3
health services,Health,1
INFORMATION MANAGEMENT,,1
environment; geoscientificInformation,Environment,1
unspecified,,2
"Society/Population (if datasets are tagged accordingly: e.g., for infrastructure, visitors, and tourism)",Society,1
EnergyProductionConsumption,,1
Geographical information,,1
Administrative and political boundaries,Boundaries,7
Health and medical services,Health,1
null,,2
Administration,,3
Legal Information,,1
Disaster Recovery,,1
Weather,Climatology / Meteorology / Atmosphere,1
inland waters,Inland Waters,2
utilities communication,Utilities / Communication,1
geoscientific information,Geoscientific Information,6
Not specified in source,,4
Planning Cadastre,Planning / Cadastre,13
NO_DATA,,1
Education and research,,1
"Not applicable (non-geospatial, publications catalog)",,1
"Population, human settlements and society",Society,1
(Please specify from ISO19115 Topic Categories),,1
"Geographical Information Systems (ISO 19115:2003: Location, ImageryBaseMapsEarthCover, Boundaries, PlanningCadastre, Environment, Health, Transportation, Structure, InlandWaters, Oceans)",Environment,1
Unknown,,20
ADMIN,,1
POP,,1
BUS,,1
AGR,,1
ENV,Environment,1
"societal, cultural and other dimensions of environmental policies",Environment,1
Science and technology,,4
imagery,Imagery / Base Maps / Earth Cover,7
topography,,2
engineering,,1
design,,1
land cover,Imagery / Base Maps / Earth Cover,4
Military,Intelligence / Military,2
Intelligence,Intelligence / Military,2
tourism,,1
economic,Economy,1
biotopics,,1
Economic,Economy,1
Imagery/base maps/earth cover,Imagery / Base Maps / Earth Cover,3
?,,2
Not applicable (not primarily geographic data),,1
Not specified (requires extraction from catalog content),,1
structures,Structure,8
OCEAN,,1
environnement,Environment,1
Cities and Settlements,,1
Topography,,2
3D Models,,1
Boundary,,1
Not specified (requires further investigation or value may be 'Other'),,1
unknown,,3
Sociology,Society,1
"location, society, economy, health, environment, planningCadastre, utilitiesCommunication, boundaries",Environment,1
POLITICAL,,1
CLIM/MET,Climatology / Meteorology / Atmosphere,1
climatology-meteorology-atmosphere,Climatology / Meteorology / Atmosphere,1
agricultural,,1
forestry,,1
communication,,1
Heritage,,1
Recreation,,3
IntelligenceMilitary,Intelligence / Military,6
Utilities communication,Utilities / Communication,31
Planning cadastre,Planning / Cadastre,19
"boundaries, society",Boundaries,1
"health, society",Health,1
atmosphere,,3
Energy resources,,2
Earth science,,1
No info available,,1
environment; biota,Environment,1
Farming; imageryBaseMapsEarthCover,Farming,1
Science,,11
"Society, culture and heritage",Society,1
History,,1
Geographic information,,1
biology,,2
geosciences,Geoscientific Information,1
research-data,,1
information-management,,1
Biology,,4
"Society, Education and Culture",Society,1
Public Safety,,1
Planning,Planning / Cadastre,7
Transportation net­works,Transportation,1
"society, structure, transportation, utilitiesCommunication",Society,1
"ISO 19115 Topic Categories, likely e.g., boundaries, society, transportation, but not available in explicit fields; if precise mapping is required, default to null",Society,1
"boundaries, location, elevation, imageryBaseMapsEarthCover, inlandWaters, society, transportation, utilitiesCommunication",Elevation,1
"Boundaries, Location",Boundaries,1
landCover,Imagery / Base Maps / Earth Cover,4
"Location, Boundaries, Environment",Environment,1
Goverment and public sector,,1
Public safety and justice,,1
Geographic datasets,,1
Agriculture and aquaculture,,1
Cities,,1
"City planning, Land use, Zoning",Planning / Cadastre,1
Utilities and Communication,Utilities / Communication,5
http://inspire.ec.europa.eu/theme/au,,1
http://inspire.ec.europa.eu/theme/ad,,1
To be determined per dataset; not available from URL alone,,1
Not determined from HTML metadata or visible text,,1
transporation,Transportation,2
location/society,Location,1
"structure, society, culture, economy, health, society",Economy,1
Land cover,Imagery / Base Maps / Earth Cover,4
Soil,,2
population and demography,,1
science and technology,,1
finance,,2
governance,,2
educatio,,1
intelligenceMilitar,Intelligence / Military,1
Societal,,2
Urbanism,,1
Demographics,,1
Urban,,1
"location, boundaries, and surfaces",Boundaries,1
"environment, oceans, and atmosphere",Environment,1
"imagery, remote sensing",Imagery / Base Maps / Earth Cover,1
Administrative and Political Units,,1
scientificInformation,,3
Not specified in provided data,,2
Not specified (in search results),,1
(Not extracted; typical: society),Society,1
"Energy, utilities, communication infrastructure",Structure,1
"Not determined from URL, requires further inspection. Example values: 'boundaries', 'elevation', 'imageryBaseMapsEarthCover'",Boundaries,1
Health / Medical data,Health,1
location/geoscientificInformation,Geoscientific Information,1
none,,1
intellectual infrastructure,Structure,1
Location unspecified,Location,1
facilities,,2
inapplicable,,1
CULTURE,,2
Scientific data,,2
location/boundaries,Boundaries,1
Research and development,,2
intellectual investigation/scientific analysis/research,,1
CLIMATOLOGYMETEOROLOGYATMOSPHERE,Climatology / Meteorology / Atmosphere,3
technology,,3
"research, science",,2
Society and culture,Society,1
"Research Data Storage/Repository (not a geographic theme, no relevant ISO19115:2003 topic; if explicit geo themes are required, these should be identified from specific datasets)",,1
humanHealth,Health,1
geographic,,2
Climatology,Climatology / Meteorology / Atmosphere,1
land use,,6
geonetwork:research,,1
military,Intelligence / Military,1
Imagery Base Maps Earth Cover,Imagery / Base Maps / Earth Cover,3
Land use/Land cover,Imagery / Base Maps / Earth Cover,1
Hydrography,,1
008,,2
012,,1
014,,1
018,,1
"DAFTAR TIDAK DITULIS OTOMATIS, TENTUKAN SESUAI KATEGORI DI PORTAL",,1
societalServices,,2
Tourism,,2
Not available in page metadata,,1
"transportation, mobility",Transportation,1
Not specified in raw text,,3
Not available: To be determined per dataset.,,1
Multiple,,1
Cadastral/Land use,,1
utilities,Utilities / Communication,6
Safety,Health,1
"farming, elevation, imageryBaseMapsEarthCover",Farming,1
Boundaries | Administrative units,Boundaries,1
Society | Population,Society,1
Not specified (no explicit ISO19115 topic categories extractable from source URL or description),,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/environment,Environment,4
010: location,Location,1
003: boundaries,Boundaries,1
015: health,Health,1
008: society,Society,1
Unknown (not specified in the input),,1
Not explicitly stated in scraped metadata,,1
"environment, biota, inlandWaters, climatologyMeteorologyAtmosphere, geoscientificInformation, location, boundaries",Environment,1
Not explicitly specified in sources,,1
"climatology, meteorology, atmosphere",Climatology / Meteorology / Atmosphere,2
"Society, health, safety, environment",Environment,1
"Not extractable from given source; could include 'Boundaries', 'Society' or 'Environment' based on platform context",Environment,1
Railways,,1
Not provided in metadata,,1
"{""uri"": ""http://www.isotc211.org/2005/gmd"", ""code"": ""society"", ""label"": ""Society""}",Society,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_farming,Farming,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_economy,Economy,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_utilitiesCommunication,Utilities / Communication,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_environment,Environment,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_geoscientificInformation,Geoscientific Information,2
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_society,Society,1
ANIMATION,,1
UTILITIES COMMUNICATION,Utilities / Communication,2
MAN-MADE FEATURES,,1
Not specified in accessible metadata,,1
earthCover,,1
"Population and society (from ISO19115:2003, matching DCAT-AP)",Society,1
"location, infrastructure and communication",Location,1
Society > Civil society and governance,Society,1
http://www.iso.org/iso/catalogue_detail?csnumber=26020:health,Health,1
http://www.iso.org/iso/catalogue_detail?csnumber=26020:society,Society,1
recreation,,3
Geographical information systems,,3
Geographical data,,1
recreationTourism,,1
pointsOfInterest,,1
administrative units,,4
transporte,,1
Imagery / Base Maps / Earth Cover,Imagery / Base Maps / Earth Cover,3
Planning / Cadastre,Planning / Cadastre,3
Utilities / Communication,Utilities / Communication,2
Climatology / Meteorology / Atmosphere,Climatology / Meteorology / Atmosphere,2
"Unknown (not extracted, but ISO19115 categories likely include 'planningCadastre', 'boundaries', 'utilitiesCommunication', 'environment', 'transportation', etc. per typical city data catalog)",Environment,1
cadastre,,8
geographical names,,1
population and society,Society,1
Emergency management,,2
N/A (requires further metadata inspection),,1
Settlements,,1
Structures,Structure,1
ISO19115:2003 - environment,Environment,1
ISO19115:2003 - planningCadastre,Planning / Cadastre,1
"location, transportation",Location,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/transportation,Transportation,3
"transportation, boundaries, population, land use",Boundaries,1
"Society, health and safety",Health,2
Communication,,1
intelligence_artificial,Intelligence / Military,1
001_society,Society,1
002_economy,Economy,1
012_planningCadastre,Planning / Cadastre,1
No geo topic assigned,,1
Not listed,,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_007,,1
Not specified in provided information,,1
[List of applicable ISO19115 topic categories],,1
"structures, utilities and communication",Structure,1
"location, planningCadastre",Location,1
planimetrics,,1
Not available in page content,,1
emergency management,,1
ISO 19115 topic categories could not be extracted directly; assign if available or consult ISO 19115:2003 for mapping,,1
"location, utilitiesCommunication, society",Location,1
Not available from current source,,1
Not specified in search result or metadata.,,1
"{""iso19115_theme"": ""elevation"", ""description"": ""Height above or below sea level""}",Elevation,1
"{""iso19115_theme"": ""health"", ""description"": ""Health, health services, human ecology, and safety""}",Health,1
"{""iso19115_theme"": ""utilitiesCommunication"", ""description"": ""Communications infrastructure and services""}",Structure,1
"{""iso19115_theme"": ""transportation"", ""description"": ""Transportation networks and services""}",Transportation,1
"{""iso19115_theme"": ""inlandWaters"", ""description"": ""Inland water features, drainage systems and their characteristics""}",Inland Waters,1
"{""iso19115_theme"": ""structure"", ""description"": ""Man-made structures (buildings, facilities, etc.)""}",Structure,1
"{""iso19115_theme"": ""environment"", ""description"": ""Environmental resources, protection and conservation""}",Environment,1
Not available in provided source,,1
IMAGERY.BASE.MAPS,Imagery / Base Maps / Earth Cover,1
IMAGERY,Imagery / Base Maps / Earth Cover,1
climateMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,2
transportation (ISO 19115: Transportation),Transportation,1
utilitiesCommunication (ISO 19115: Utilities and Communication),Utilities / Communication,1
environment (ISO 19115: Environment),Environment,1
UTILITIES AND COMMUNICATION,Utilities / Communication,1
Environment and conservation,Environment,1
Government and administration,,1
Transportation systems,Transportation,1
Intelligence Military,Intelligence / Military,1
Utilities Communication,Utilities / Communication,2
Geographical Information Systems,,1
Climate and meteorological,Climatology / Meteorology / Atmosphere,1
Drainage systems,,1
"Unknown (not found in search results, additional mapping required)",,1
"location, boundaries, planningCadastre",Boundaries,1
"location, boundaries",Boundaries,4
planning cadastre,Planning / Cadastre,2
TransportationNetworks,Transportation,1
Facilities,,1
PLANNING CADASTRE,Planning / Cadastre,2
"environment, elevation, oceans",Environment,1
business,,1
Not specified (ISO19115),,1
Buildings,Structure,1
STRUCTURES,Structure,1
DISASTER,,1
"environment, planningCadastre, society",Environment,1
Imagery / Base maps / Earth cover,Imagery / Base Maps / Earth Cover,2
Utility and governmental services,,1
Base maps/Earth cover,Imagery / Base Maps / Earth Cover,1
Administration and Government,,1
Land use planning,Planning / Cadastre,3
geoscientificInformation - 004,Geoscientific Information,1
emergency,,1
Emergency and disaster management,,1
geopolitical,,1
Not specified in provided text,,1
No specific ISO19115 category extracted from URL,,1
"Not explicitly listed; infer from context: likely includes relevant ISO 19115 topic categories for administrative, statistical, and geospatial data due to broad public sector coverage",,1
multidisciplinary,,1
N/A,,2
No geo information available,,1
Sciences,,1
Research & Innovation,,1
scientific research,,1
intellectualInfrastructure,Structure,1
"farming, boundary, planningCadastre, imageryBaseMapsEarthCover, economy",Farming,1
fisheries,,1
"Boundaries, Administrative units",Boundaries,1
"Transportation, Infrastructure",Structure,1
local government,,1
utility infrastructure,Structure,1
social welfare,,1
imagerBaseMapsEarthCover,,2
GEOSCIENCES_INFORMATION,,1
planetary,,1
LandCover,Imagery / Base Maps / Earth Cover,2
Sport,,1
Cultural,,1
Sociedad,,1
Economía,Economy,1
Salud,Health,1
Medio ambiente,,1
Servicios gubernamentales,,1
Educación,,1
Comunicación,,1
Recursos hídricos,,1
Ordenación territorial,,1
"Agricultura, ganadería, pesca y silvicultura",,1
Transporte,,1
Energía,,1
planning and cadastre,Planning / Cadastre,1
001,,1
Atmosphere,,5
Land,,2
"boundaries, society, economy",Boundaries,1
scienceAndTechnology,,1
"Imagery, Base Maps, Earth Cover",Imagery / Base Maps / Earth Cover,4
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/society,Society,3
"Environmental, geological and geophysical data",Environment,1
geology,Geoscientific Information,3
intellectualPropertyRights,,1
Imagery and base maps,Imagery / Base Maps / Earth Cover,1
Genetics,,1
Intellectual property,,3
Knowledge and science,,1
economics,Economy,2
innovation,,1
"boundaries, location",Boundaries,2
societys,Society,1
"Society, Research, Science and Technology",Society,1
Not applicable / generic,,1
geoscientific,Geoscientific Information,1
buildings,Structure,1
nature,,1
places,,1
water,,2
employment,,1
"Boundaries, Elevation, Environment, Geology, Inland waters, Location, Planning/cadastre, Transportation, Utilities/communication",Environment,1
"imageryBaseMapsEarthCover, environment, geoscientificInformation",Environment,1
Not specified in provided resources,,1
"Scientific Information, Research",,1
"Oceans, Seas",Oceans,1
UNKNOWN,,3
BaseMapsEarthCover,Imagery / Base Maps / Earth Cover,1
Geographic/Geospatial data,,1
Intelligence.Military,Intelligence / Military,1
Disaster and risk management,,1
Risk,,1
Disaster,,2
Biosphere,,3
"location, geographical systems, services, transportation",Location,1
not specified,,3
Environment; others to be determined based on service content,Environment,1
"urban planning, city planning",Planning / Cadastre,1
Politics,,2
Urban/Regional,,1
Culture/Tourism,,1
landuse,,3
"human health, safety and comfort",Health,1
Statistical data,,1
socialBehavior,,1
Intellectual Resource,,1
SOCIALSCIENCES,Society,1
Research and science,,1
Location not applicable,Location,2
research data,,1
education data,,1
Not Specified,,2
EXTERNAL_BOUNDARIES,Boundaries,1
"[ISO 19115:2003 Topic Categories, inferred by context, specify if available from metadata]",,1
Not provided,,3
Not specified in URL data,,1
"boundaries, elevation, imageryBaseMapsEarthCover",Boundaries,1
statistical,,1
"Location, boundaries, and elevation",Boundaries,1
Civil and Governmental Units,,1
"Structure, Facilities and Areas",Structure,1
administration and governmental units,,1
Environmental,Environment,3
To be specified according to ISO19115:2003 Topic Categories,,1
Government and society,Society,1
transport,Transportation,2
http://www.isotc211.org/iso19115/-3/cat/1.0/current/doc/ISO-19115-3-category.xsd,,1
Technical infrastructure,Structure,1
Climate,Climatology / Meteorology / Atmosphere,1
"Society, health and nature",Health,1
Oceanography,,1
Atmospheric science,,1
Water quality,,1
All (Open Data),,1
"society, research",Society,1
Life Sciences,,1
"environment,",Environment,1
land,,1
populationDistribution,,1
cadastral surveying,,1
"Location, boundaries, elevation, and physical features",Boundaries,1
Geoscientific data,Geoscientific Information,1
Environmental data,Environment,1
Remote sensing data,,1
transportation.,Transportation,1
Not available. (This field is specific to geographic datasets. The portal description does not confirm availability of spatial/geo datasets.),,1
Not available from provided URL,,1
Scientific research,,2
Communication systems,,1
data not applicable or not geospatial,,1
Unknown (requires manual mapping/analysis of exposed services),,1
urban areas,,1
"oceans, inlandWaters",Oceans,1
Not available from the homepage or direct inspection,,1
Not specified in provided text or URL,,1
Government and public sector,,2
OTHER,,1
Not extractable from URL alone,,1
http://standards.iso.org/iso/19115/resources/Codelists/cat/codelists.xml#Category_Environment,Environment,1
http://standards.iso.org/iso/19115/resources/Codelists/cat/codelists.xml#Category_GeoscientificInformation,Geoscientific Information,1
société,Society,1
Not specified; requires manual mapping from services,,1
Land Use/Land Cover,Imagery / Base Maps / Earth Cover,1
"environment, geoscientificInformation, inlandWaters",Environment,1
earthObservation,,1
Land Use Planning,Planning / Cadastre,1
Biology and Ecology,,2
Utilities and communication services,Utilities / Communication,2
"not applicable (some datasets, may vary)",,1
administrativeUnit,,1
not_specified,,1
geography,,1
Imagery/BaseMaps/EarthCover,Imagery / Base Maps / Earth Cover,2
Not specified by ISO 19115:2003 theme in source,,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/boundaries,Boundaries,4
"Other (or not specified, depends on specific datasets)",,1
biosphere,,1
Scientific and technical,,1
Information and communication technologies,,1
"Environmental management, monitoring, and protection",Environment,1
Remote sensing,,2
Geology,Geoscientific Information,2
Not geo,,1
"Cultural, society, demographic",Society,1
climatologymeteorologyatmosphere,Climatology / Meteorology / Atmosphere,1
geoscientificinformation,Geoscientific Information,4
imagerybasemapsearthcover,Imagery / Base Maps / Earth Cover,2
intelligencemilitary,Intelligence / Military,1
inlandwaters,Inland Waters,4
planningcadastre,Planning / Cadastre,3
utilitiescommunication,Utilities / Communication,2
"TRANSPORTATION, UTILITIES, COMMUNICATIONS",Transportation,1
"Health, education and welfare",Health,1
Development,,1
"Boundaries, society",Boundaries,1
"Environment, land use",Environment,1
IMAGERY/BASE MAPS/EARTH COVER,Imagery / Base Maps / Earth Cover,1
Not available from source,,1
Not specified (insufficient metadata),,1
boundary,,1
climate change,Climatology / Meteorology / Atmosphere,1
weather,Climatology / Meteorology / Atmosphere,1
No iso19115_theme provided,,1
"{""iso19115_code"": ""boundaries"", ""label"": ""Boundaries; Administrative units, cadastral, electoral, etc.""}",Boundaries,1
"{""iso19115_code"": ""planningCadastre"", ""label"": ""Planning, cadastre: Cadastral parcels, land use, zoning, property, etc.""}",Planning / Cadastre,1
"{""iso19115_code"": ""location"", ""label"": ""Location: addresses, sites, etc.""}",Location,1
"{""iso19115_code"": ""imageryBaseMapsEarthCover"", ""label"": ""Imagery, base maps, earth cover: orthophotos, basemaps, etc.""}",Imagery / Base Maps / Earth Cover,1
"Location, location, location",Location,1
Unknown (needs classification by exact service layers/ISO19115),,1
"elevation, inlandWaters, location, boundaries, structure, transportation, utilitiesCommunication, society, imageryBaseMapsEarthCover",Boundaries,1
Planning and Cadastre,Planning / Cadastre,3
Land use and planning,Planning / Cadastre,1
"location, structure, boundaries",Boundaries,1
imagerysatellite,Imagery / Base Maps / Earth Cover,1
climatologymeteorologyatmospheres,Climatology / Meteorology / Atmosphere,1
naturalresourcesmanagement,,1
Administrative Units,,1
Weather and climate,Climatology / Meteorology / Atmosphere,1
Soils and geology,,1
Forestry,,1
"No ISO19115 topic category listed on the catalog homepage. Default: ""Not specified""",,1
"boundaries, society, location, structure",Boundaries,1
governments,,2
"boundaries,environment,geoscientificInformation,health,imageryBaseMapsEarthCover,location,inlandWaters,planningCadastre,structure,society,transportation,utilitiesCommunication",Environment,1
"Location, planning, cadastre",Location,1
https://inspire.ec.europa.eu/theme/boundaries,Boundaries,1
https://inspire.ec.europa.eu/theme/geography,,1
https://inspire.ec.europa.eu/theme/transport,,1
"none (assume may hold various, not specified)",,1
"location, geospatial, mapping",Location,1
http://inspire.ec.europa.eu/theme/tc/geoscientificInformation,Geoscientific Information,1
http://inspire.ec.europa.eu/theme/tc/location,Location,1
"Intelligence, Military",Intelligence / Military,1
"Planning, Cadastre",Planning / Cadastre,1
"Utilities, Communication",Utilities / Communication,1
"boundaries, cadastral",Boundaries,1
Research and experimental development,,1
Scientific,,1
Engineering,,1
scholarship/research,,1
academic,,1
Bibliographic resources,,1
Innovation,,1
Imagery/Base maps/Earth cover,Imagery / Base Maps / Earth Cover,1
Human health and safety,Health,1
Imagery and Base Maps,Imagery / Base Maps / Earth Cover,1
socioeconomic,Society,1
"Utilities, communication",Utilities / Communication,2
Intelligence military,Intelligence / Military,1
atmos,,1
Not extractable from raw text,,1
human Geography,,1
